,facility,city,Code,website,href
0,casa,bogota,11222-M3217989,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-2000-4-habitaciones-3-banos-1-garajes/11222-M3217989
1,casa,bogota,3406-M3748618,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/3406-M3748618
2,casa,bogota,3435-M3476116,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-canaveralejo-seguros-patria-4-habitaciones-3-banos-2-garajes/3435-M3476116
3,casa,bogota,10278-M3674441,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelacion-cerros-la-buitrera-3-habitaciones-4-banos-4-garajes/10278-M3674441
4,casa,bogota,12786-M3818051,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%B3n-ciudad-jarda%C2%ADn-5-habitaciones-5-banos-4-garajes/12786-M3818051
5,casa,bogota,3566-M2836440,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-5-habitaciones-5-banos-4-garajes/3566-M2836440
6,casa,bogota,4941-M3611054,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-anita-la-selva-3-habitaciones-3-banos-1-garajes/4941-M3611054
7,casa,bogota,4805-M3818452,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%B3n-san-joaqua%C2%ADn-4-habitaciones-4-banos-2-garajes/4805-M3818452
8,casa,bogota,4941-M2725447,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelacion-piedra-grande-3-habitaciones-2-banos-2-garajes/4941-M2725447
9,casa,bogota,4941-M2892616,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-jardin-4-habitaciones-5-banos-2-garajes/4941-M2892616
